"","Date","Close","Company"
"1",2021-03-15,2073.6171115634,"Google Prediction"
"2",2021-03-16,2083.92581182318,"Google Prediction"
"3",2021-03-17,2080.73410753878,"Google Prediction"
"4",2021-03-18,2058.88774269791,"Google Prediction"
"5",2021-03-19,2053.17708343985,"Google Prediction"
"6",2021-03-22,2054.03052825453,"Google Prediction"
"7",2021-03-23,2055.95038145753,"Google Prediction"
"8",2021-03-24,2059.28320117267,"Google Prediction"
"9",2021-03-25,2057.71601189273,"Google Prediction"
"10",2021-03-26,2060.7558991422,"Google Prediction"
"11",2021-03-29,2057.5641948578,"Google Prediction"
"12",2021-03-30,2061.87473702403,"Google Prediction"
"13",2021-03-31,2134.54998002546,"Google Prediction"
"14",2021-04-01,2209.99056007685,"Google Prediction"
"15",2021-04-05,2243.67296525808,"Google Prediction"
"16",2021-04-06,2255.27068876447,"Google Prediction"
"17",2021-04-07,2260.19147508564,"Google Prediction"
"18",2021-04-08,2282.66194041791,"Google Prediction"
"19",2021-04-09,2259.40043771984,"Google Prediction"
"20",2021-04-12,2273.14784889268,"Google Prediction"
"21",2021-04-13,2265.76679161908,"Google Prediction"
"22",2021-04-14,2275.90917292954,"Google Prediction"
"23",2021-04-15,2300.8034004082,"Google Prediction"
"24",2021-04-16,2294.98254168006,"Google Prediction"
"25",2021-04-19,2294.18414956303,"Google Prediction"
"26",2021-04-20,2293.4533376989,"Google Prediction"
"27",2021-04-21,2285.87513730647,"Google Prediction"
"28",2021-04-22,2309.0200923753,"Google Prediction"
"29",2021-04-23,2323.04075467931,"Google Prediction"
"30",2021-04-26,2324.8335734305,"Google Prediction"
"31",2021-04-27,2350.56538472669,"Google Prediction"
"32",2021-04-28,2409.72869981803,"Google Prediction"
"33",2021-04-29,2396.62041165751,"Google Prediction"
"34",2021-04-30,2397.10885407847,"Google Prediction"
"35",2021-05-03,2373.91446678412,"Google Prediction"
"36",2021-05-04,2361.15759952437,"Google Prediction"
"37",2021-05-05,2371.191717305,"Google Prediction"
"38",2021-05-06,2367.86831236702,"Google Prediction"
"39",2021-05-07,2370.3247876845,"Google Prediction"
"40",2021-05-10,2326.25183465304,"Google Prediction"
"41",2021-05-11,2283.19337684633,"Google Prediction"
"42",2021-05-12,2268.05817033323,"Google Prediction"
"43",2021-05-13,2305.30228670053,"Google Prediction"
"44",2021-05-14,2314.80367914699,"Google Prediction"
"45",2021-05-17,2309.45694826515,"Google Prediction"
"46",2021-05-18,2320.47011022987,"Google Prediction"
"47",2021-05-19,2335.28393967422,"Google Prediction"
"48",2021-05-20,2364.81178198966,"Google Prediction"
"49",2021-05-21,2397.94488208207,"Google Prediction"
"50",2021-05-24,2411.41926115863,"Google Prediction"
"51",2021-05-25,2422.90184243741,"Google Prediction"
"52",2021-05-26,2415.44909590595,"Google Prediction"
"53",2021-05-27,2414.45987573983,"Google Prediction"
"54",2021-05-28,2414.1021743428,"Google Prediction"
"55",2021-06-01,2420.29717508676,"Google Prediction"
"56",2021-06-02,2423.03662642064,"Google Prediction"
"57",2021-06-03,2444.71234149458,"Google Prediction"
"58",2021-06-04,2462.05240299571,"Google Prediction"
"59",2021-06-07,2475.59657544661,"Google Prediction"
"60",2021-06-08,2498.0762265699,"Google Prediction"
"61",2021-06-09,2515.82214622218,"Google Prediction"
"62",2021-06-10,2517.20453302581,"Google Prediction"
"63",2021-06-11,2527.14401051421,"Google Prediction"
"64",2021-06-14,2521.84298494104,"Google Prediction"
"65",2021-06-15,2517.12621348463,"Google Prediction"
"66",2021-06-16,2530.29314869754,"Google Prediction"
"67",2021-06-17,2533.65130015016,"Google Prediction"
"68",2021-06-18,2525.30702563068,"Google Prediction"
"69",2021-06-21,2533.65130015016,"Google Prediction"
"70",2021-06-22,2531.91719150469,"Google Prediction"
"71",2021-06-23,2539.33988031903,"Google Prediction"
"72",2021-06-24,2550.43836083049,"Google Prediction"
"73",2021-06-25,2533.27216834733,"Google Prediction"
"74",2021-06-28,2527.64203551943,"Google Prediction"
"75",2021-06-29,2520.16517512286,"Google Prediction"
"76",2021-06-30,2525.73662390253,"Google Prediction"
"77",2021-07-01,2563.66751189595,"Google Prediction"
"78",2021-07-02,2594.81020655269,"Google Prediction"
"79",2021-07-06,2596.20393438051,"Google Prediction"
"80",2021-07-07,2593.18170945877,"Google Prediction"
"81",2021-07-08,2600.75681510726,"Google Prediction"
"82",2021-07-09,2614.41469518254,"Google Prediction"
"83",2021-07-12,2608.48636798346,"Google Prediction"
"84",2021-07-13,2622.4843097345,"Google Prediction"
"85",2021-07-14,2631.82713034535,"Google Prediction"
"86",2021-07-15,2635.57374194423,"Google Prediction"
"87",2021-07-16,2610.56112590963,"Google Prediction"
"88",2021-07-19,2629.91325995857,"Google Prediction"
"89",2021-07-20,2639.77108961875,"Google Prediction"
"90",2021-07-21,2661.26043935465,"Google Prediction"
"91",2021-07-22,2717.78375426279,"Google Prediction"
"92",2021-07-23,2769.93805126073,"Google Prediction"
"93",2021-07-26,2744.59402451636,"Google Prediction"
"94",2021-07-27,2728.23869764032,"Google Prediction"
"95",2021-07-28,2735.52344504716,"Google Prediction"
"96",2021-07-29,2717.31712599071,"Google Prediction"
"97",2021-07-30,2728.6625960541,"Google Prediction"
"98",2021-08-02,2734.33313397034,"Google Prediction"
"99",2021-08-03,2722.4346849394,"Google Prediction"
"100",2021-08-04,2731.53504874529,"Google Prediction"
"101",2021-08-05,2741.98915616395,"Google Prediction"
"102",2021-08-06,2742.66396472575,"Google Prediction"
"103",2021-08-09,2755.36000744226,"Google Prediction"
"104",2021-08-10,2766.05191316428,"Google Prediction"
"105",2021-08-11,2767.28439897271,"Google Prediction"
"106",2021-08-12,2764.02112390818,"Google Prediction"
"107",2021-08-13,2771.04316227855,"Google Prediction"
"108",2021-08-16,2747.74079181971,"Google Prediction"
"109",2021-08-17,2767.34591777339,"Google Prediction"
"110",2021-08-18,2763.97053183587,"Google Prediction"
"111",2021-08-19,2765.72078534188,"Google Prediction"
"112",2021-08-20,2782.52989393445,"Google Prediction"
"113",2021-08-23,2822.27386967554,"Google Prediction"
"114",2021-08-24,2871.62164172502,"Google Prediction"
"115",2021-08-25,2873.89798527928,"Google Prediction"
"116",2021-08-26,2879.51707021864,"Google Prediction"
"117",2021-08-27,2899.09249125393,"Google Prediction"
"118",2021-08-30,2910.28234532075,"Google Prediction"
"119",2021-08-31,2904.15254666628,"Google Prediction"
"120",2021-09-01,2893.69379781904,"Google Prediction"
"121",2021-09-02,2889.08830067115,"Google Prediction"
"122",2021-09-03,2908.02877704771,"Google Prediction"
"123",2021-09-07,2895.09586468311,"Google Prediction"
"124",2021-09-08,2879.30645543309,"Google Prediction"
"125",2021-09-09,2867.47066583457,"Google Prediction"
"126",2021-09-10,2871.18955564471,"Google Prediction"
"127",2021-09-13,2873.45856016101,"Google Prediction"
"128",2021-09-14,2890.0143382919,"Google Prediction"
"129",2021-09-15,2887.69003345044,"Google Prediction"
"130",2021-09-16,2844.97984687584,"Google Prediction"
"131",2021-09-17,2851.6027883661,"Google Prediction"
"132",2021-09-20,2788.47369387718,"Google Prediction"
"133",2021-09-21,2776.79738924624,"Google Prediction"
"134",2021-09-22,2775.1410040827,"Google Prediction"
"135",2021-09-23,2830.8445203078,"Google Prediction"
"136",2021-09-24,2836.55385853322,"Google Prediction"
"137",2021-09-27,2776.71250823857,"Google Prediction"
"138",2021-09-28,2691.05274202647,"Google Prediction"
"139",2021-09-29,2674.41651216121,"Google Prediction"
"140",2021-09-30,2731.05216634246,"Google Prediction"
"141",2021-10-01,2693.64944197582,"Google Prediction"
"142",2021-10-04,2714.89865370067,"Google Prediction"
"143",2021-10-05,2735.60389274331,"Google Prediction"
"144",2021-10-06,2769.73838466122,"Google Prediction"
"145",2021-10-07,2767.34264464649,"Google Prediction"
"146",2021-10-08,2775.14476399096,"Google Prediction"
"147",2021-10-11,2746.32675602632,"Google Prediction"
"148",2021-10-12,2729.1314495997,"Google Prediction"
"149",2021-10-13,2785.81587961288,"Google Prediction"
"150",2021-10-14,2799.77953231796,"Google Prediction"
"151",2021-10-15,2857.10126708909,"Google Prediction"
"152",2021-10-18,2873.74394926028,"Google Prediction"
"153",2021-10-19,2894.87216574671,"Google Prediction"
"154",2021-10-20,2902.30572555931,"Google Prediction"
"155",2021-10-21,2878.72281502904,"Google Prediction"
"156",2021-10-22,2778.82854900481,"Google Prediction"
"157",2021-10-25,2794.67183003291,"Google Prediction"
"158",2021-10-26,2874.35856009247,"Google Prediction"
"159",2021-10-27,2906.27730935365,"Google Prediction"
"160",2021-10-28,2944.9121508223,"Google Prediction"
"161",2021-10-29,2900.87481148513,"Google Prediction"
"162",2021-11-01,2913.72118622782,"Google Prediction"
"163",2021-11-02,2930.6466246617,"Google Prediction"
"164",2021-11-03,2954.25332256379,"Google Prediction"
"165",2021-11-04,2977.79822776439,"Google Prediction"
"166",2021-11-05,2975.13681244077,"Google Prediction"
"167",2021-11-08,2979.74878390106,"Google Prediction"
"168",2021-11-09,2964.11529363664,"Google Prediction"
"169",2021-11-10,2937.19818428876,"Google Prediction"
"170",2021-11-11,2943.16332384171,"Google Prediction"
"171",2021-11-12,2979.33623613389,"Google Prediction"
"172",2021-11-15,2972.22601924809,"Google Prediction"
"173",2021-11-16,2979.49141712459,"Google Prediction"
"174",2021-11-17,2980.74461568119,"Google Prediction"
"175",2021-11-18,2938.13303274633,"Google Prediction"
"176",2021-11-19,2954.33749357956,"Google Prediction"
"177",2021-11-22,2936.11678481819,"Google Prediction"
"178",2021-11-23,2932.98750825198,"Google Prediction"
"179",2021-11-24,2884.68586350204,"Google Prediction"
"180",2021-11-26,2906.45648674639,"Google Prediction"
"181",2021-11-29,2858.2730220479,"Google Prediction"
"182",2021-11-30,2834.49948485494,"Google Prediction"
"183",2021-12-01,2868.40977240326,"Google Prediction"
"184",2021-12-02,2872.92101300736,"Google Prediction"
"185",2021-12-03,2894.03112290027,"Google Prediction"
"186",2021-12-06,2929.53411845602,"Google Prediction"
"187",2021-12-07,2937.32692891331,"Google Prediction"
"188",2021-12-08,2954.53272051709,"Google Prediction"
"189",2021-12-09,2968.74710610109,"Google Prediction"
"190",2021-12-10,2943.31512220921,"Google Prediction"
"191",2021-12-13,2917.61875837268,"Google Prediction"
"192",2021-12-14,2926.01023630025,"Google Prediction"
