"","Date","Close","Company"
"1",2021-03-15,3093.46434692448,"Amazon Prediction"
"2",2021-03-16,3117.23322409206,"Amazon Prediction"
"3",2021-03-17,3161.23405140883,"Amazon Prediction"
"4",2021-03-18,3054.0564746769,"Amazon Prediction"
"5",2021-03-19,3082.62919324219,"Amazon Prediction"
"6",2021-03-22,3128.17230253241,"Amazon Prediction"
"7",2021-03-23,3164.66285050028,"Amazon Prediction"
"8",2021-03-24,3104.16942347821,"Amazon Prediction"
"9",2021-03-25,3070.69110092759,"Amazon Prediction"
"10",2021-03-26,3061.19912045626,"Amazon Prediction"
"11",2021-03-29,3087.39361646654,"Amazon Prediction"
"12",2021-03-30,3084.63635501947,"Amazon Prediction"
"13",2021-03-31,3128.5385042039,"Amazon Prediction"
"14",2021-04-01,3179.40797016809,"Amazon Prediction"
"15",2021-04-05,3229.68843894547,"Amazon Prediction"
"16",2021-04-06,3251.97295375862,"Amazon Prediction"
"17",2021-04-07,3281.64098862676,"Amazon Prediction"
"18",2021-04-08,3324.68813817745,"Amazon Prediction"
"19",2021-04-09,3359.347870297,"Amazon Prediction"
"20",2021-04-12,3391.63969703056,"Amazon Prediction"
"21",2021-04-13,3393.16177855642,"Amazon Prediction"
"22",2021-04-14,3358.63717603374,"Amazon Prediction"
"23",2021-04-15,3392.16780241085,"Amazon Prediction"
"24",2021-04-16,3395.21108743811,"Amazon Prediction"
"25",2021-04-19,3375.48262742757,"Amazon Prediction"
"26",2021-04-20,3356.66508494382,"Amazon Prediction"
"27",2021-04-21,3352.92625741363,"Amazon Prediction"
"28",2021-04-22,3333.84929211881,"Amazon Prediction"
"29",2021-04-23,3366.61246181268,"Amazon Prediction"
"30",2021-04-26,3404.01783609615,"Amazon Prediction"
"31",2021-04-27,3437.24756887911,"Amazon Prediction"
"32",2021-04-28,3451.30050710338,"Amazon Prediction"
"33",2021-04-29,3440.84146320192,"Amazon Prediction"
"34",2021-04-30,3433.37158125482,"Amazon Prediction"
"35",2021-05-03,3370.40612821375,"Amazon Prediction"
"36",2021-05-04,3295.76934378815,"Amazon Prediction"
"37",2021-05-05,3292.9182178632,"Amazon Prediction"
"38",2021-05-06,3275.28883105627,"Amazon Prediction"
"39",2021-05-07,3301.37878938105,"Amazon Prediction"
"40",2021-05-10,3210.34784777009,"Amazon Prediction"
"41",2021-05-11,3198.7380385921,"Amazon Prediction"
"42",2021-05-12,3167.24137968157,"Amazon Prediction"
"43",2021-05-13,3186.34472475286,"Amazon Prediction"
"44",2021-05-14,3234.38617738748,"Amazon Prediction"
"45",2021-05-17,3259.1949994963,"Amazon Prediction"
"46",2021-05-18,3243.71966299782,"Amazon Prediction"
"47",2021-05-19,3234.99682889863,"Amazon Prediction"
"48",2021-05-20,3248.01133669313,"Amazon Prediction"
"49",2021-05-21,3227.32389020243,"Amazon Prediction"
"50",2021-05-24,3250.45571409033,"Amazon Prediction"
"51",2021-05-25,3256.08656372038,"Amazon Prediction"
"52",2021-05-26,3257.64132023922,"Amazon Prediction"
"53",2021-05-27,3239.22929993736,"Amazon Prediction"
"54",2021-05-28,3233.7522687306,"Amazon Prediction"
"55",2021-06-01,3232.14606397843,"Amazon Prediction"
"56",2021-06-02,3230.29330200603,"Amazon Prediction"
"57",2021-06-03,3200.11547833545,"Amazon Prediction"
"58",2021-06-04,3209.53755285979,"Amazon Prediction"
"59",2021-06-07,3201.37839983291,"Amazon Prediction"
"60",2021-06-08,3267.96432799444,"Amazon Prediction"
"61",2021-06-09,3299.40176254322,"Amazon Prediction"
"62",2021-06-10,3343.93287135336,"Amazon Prediction"
"63",2021-06-11,3371.03793364855,"Amazon Prediction"
"64",2021-06-14,3395.93467092708,"Amazon Prediction"
"65",2021-06-15,3403.74382507957,"Amazon Prediction"
"66",2021-06-16,3432.98172982237,"Amazon Prediction"
"67",2021-06-17,3477.00646766364,"Amazon Prediction"
"68",2021-06-18,3478.33061152588,"Amazon Prediction"
"69",2021-06-21,3476.53753157037,"Amazon Prediction"
"70",2021-06-22,3510.66252035731,"Amazon Prediction"
"71",2021-06-23,3501.57380822204,"Amazon Prediction"
"72",2021-06-24,3453.48527279787,"Amazon Prediction"
"73",2021-06-25,3425.32738839645,"Amazon Prediction"
"74",2021-06-28,3451.1729327432,"Amazon Prediction"
"75",2021-06-29,3457.3556063993,"Amazon Prediction"
"76",2021-06-30,3464.73029960127,"Amazon Prediction"
"77",2021-07-01,3468.54543484753,"Amazon Prediction"
"78",2021-07-02,3553.54015537316,"Amazon Prediction"
"79",2021-07-06,3630.96790967161,"Amazon Prediction"
"80",2021-07-07,3681.42871912823,"Amazon Prediction"
"81",2021-07-08,3688.98687540432,"Amazon Prediction"
"82",2021-07-09,3692.49095589415,"Amazon Prediction"
"83",2021-07-12,3688.8716774478,"Amazon Prediction"
"84",2021-07-13,3681.53731370828,"Amazon Prediction"
"85",2021-07-14,3662.71333449442,"Amazon Prediction"
"86",2021-07-15,3628.72504877833,"Amazon Prediction"
"87",2021-07-16,3587.40228107667,"Amazon Prediction"
"88",2021-07-19,3552.69637642254,"Amazon Prediction"
"89",2021-07-20,3577.25784889337,"Amazon Prediction"
"90",2021-07-21,3587.26278646768,"Amazon Prediction"
"91",2021-07-22,3635.93036403151,"Amazon Prediction"
"92",2021-07-23,3653.81617578542,"Amazon Prediction"
"93",2021-07-26,3661.76472605167,"Amazon Prediction"
"94",2021-07-27,3620.96825002767,"Amazon Prediction"
"95",2021-07-28,3615.32388660464,"Amazon Prediction"
"96",2021-07-29,3523.49215370862,"Amazon Prediction"
"97",2021-07-30,3305.28604294655,"Amazon Prediction"
"98",2021-08-02,3346.18008770757,"Amazon Prediction"
"99",2021-08-03,3358.31234908223,"Amazon Prediction"
"100",2021-08-04,3365.43166789789,"Amazon Prediction"
"101",2021-08-05,3379.9779314353,"Amazon Prediction"
"102",2021-08-06,3350.91304997535,"Amazon Prediction"
"103",2021-08-09,3342.7739212409,"Amazon Prediction"
"104",2021-08-10,3328.64619599464,"Amazon Prediction"
"105",2021-08-11,3302.16042151366,"Amazon Prediction"
"106",2021-08-12,3290.44624834761,"Amazon Prediction"
"107",2021-08-13,3292.4554784907,"Amazon Prediction"
"108",2021-08-16,3265.17378793016,"Amazon Prediction"
"109",2021-08-17,3246.4359040293,"Amazon Prediction"
"110",2021-08-18,3227.69896485521,"Amazon Prediction"
"111",2021-08-19,3211.08833645304,"Amazon Prediction"
"112",2021-08-20,3202.5697716647,"Amazon Prediction"
"113",2021-08-23,3267.45778176173,"Amazon Prediction"
"114",2021-08-24,3298.24669635168,"Amazon Prediction"
"115",2021-08-25,3304.17972481642,"Amazon Prediction"
"116",2021-08-26,3331.00794894541,"Amazon Prediction"
"117",2021-08-27,3363.77585554564,"Amazon Prediction"
"118",2021-08-30,3439.6835500503,"Amazon Prediction"
"119",2021-08-31,3457.26681007597,"Amazon Prediction"
"120",2021-09-01,3477.618897831,"Amazon Prediction"
"121",2021-09-02,3473.3577320349,"Amazon Prediction"
"122",2021-09-03,3487.34366236449,"Amazon Prediction"
"123",2021-09-07,3506.88719797127,"Amazon Prediction"
"124",2021-09-08,3515.31170262801,"Amazon Prediction"
"125",2021-09-09,3487.55997939885,"Amazon Prediction"
"126",2021-09-10,3470.49799961604,"Amazon Prediction"
"127",2021-09-13,3469.36966680361,"Amazon Prediction"
"128",2021-09-14,3462.03347290033,"Amazon Prediction"
"129",2021-09-15,3476.66066009446,"Amazon Prediction"
"130",2021-09-16,3479.74481555363,"Amazon Prediction"
"131",2021-09-17,3448.16103058606,"Amazon Prediction"
"132",2021-09-20,3345.46174619271,"Amazon Prediction"
"133",2021-09-21,3358.13738247067,"Amazon Prediction"
"134",2021-09-22,3388.64385991393,"Amazon Prediction"
"135",2021-09-23,3419.1860559218,"Amazon Prediction"
"136",2021-09-24,3416.78927702959,"Amazon Prediction"
"137",2021-09-27,3377.69087356987,"Amazon Prediction"
"138",2021-09-28,3310.68005921628,"Amazon Prediction"
