"","Date","Close","Company"
"1",2021-03-15,124.317137783839,"Apple Prediction"
"2",2021-03-16,125.564156833545,"Apple Prediction"
"3",2021-03-17,124.544343843017,"Apple Prediction"
"4",2021-03-18,120.816207125077,"Apple Prediction"
"5",2021-03-19,122.486068791103,"Apple Prediction"
"6",2021-03-22,123.618178969911,"Apple Prediction"
"7",2021-03-23,123.109065447716,"Apple Prediction"
"8",2021-03-24,120.627733273201,"Apple Prediction"
"9",2021-03-25,121.063131520371,"Apple Prediction"
"10",2021-03-26,121.088898142891,"Apple Prediction"
"11",2021-03-29,120.942784339688,"Apple Prediction"
"12",2021-03-30,120.955470998259,"Apple Prediction"
"13",2021-03-31,122.956536922246,"Apple Prediction"
"14",2021-04-01,124.353384852969,"Apple Prediction"
"15",2021-04-05,125.8353299269,"Apple Prediction"
"16",2021-04-06,127.045834144353,"Apple Prediction"
"17",2021-04-07,128.684465044484,"Apple Prediction"
"18",2021-04-08,131.38004081577,"Apple Prediction"
"19",2021-04-09,132.014662230232,"Apple Prediction"
"20",2021-04-12,132.700587480054,"Apple Prediction"
"21",2021-04-13,133.20276330075,"Apple Prediction"
"22",2021-04-14,132.823602831632,"Apple Prediction"
"23",2021-04-15,134.421797798853,"Apple Prediction"
"24",2021-04-16,134.41929170415,"Apple Prediction"
"25",2021-04-19,134.133205549453,"Apple Prediction"
"26",2021-04-20,132.845153245972,"Apple Prediction"
"27",2021-04-21,132.502910870775,"Apple Prediction"
"28",2021-04-22,133.117890045269,"Apple Prediction"
"29",2021-04-23,134.360675720754,"Apple Prediction"
"30",2021-04-26,134.363830563233,"Apple Prediction"
"31",2021-04-27,134.051514339659,"Apple Prediction"
"32",2021-04-28,133.831877836769,"Apple Prediction"
"33",2021-04-29,133.119557677263,"Apple Prediction"
"34",2021-04-30,132.379255637471,"Apple Prediction"
"35",2021-05-03,130.708870069291,"Apple Prediction"
"36",2021-05-04,128.405553698132,"Apple Prediction"
"37",2021-05-05,129.154909733429,"Apple Prediction"
"38",2021-05-06,129.115911060689,"Apple Prediction"
"39",2021-05-07,130.29522336825,"Apple Prediction"
"40",2021-05-10,126.806470132314,"Apple Prediction"
"41",2021-05-11,124.729935998297,"Apple Prediction"
"42",2021-05-12,124.2822147042,"Apple Prediction"
"43",2021-05-13,126.495841995839,"Apple Prediction"
"44",2021-05-14,127.031210857759,"Apple Prediction"
"45",2021-05-17,125.696666720216,"Apple Prediction"
"46",2021-05-18,125.026259160516,"Apple Prediction"
"47",2021-05-19,125.958616199307,"Apple Prediction"
"48",2021-05-20,126.975224401649,"Apple Prediction"
"49",2021-05-21,126.44657894059,"Apple Prediction"
"50",2021-05-24,127.107466175523,"Apple Prediction"
"51",2021-05-25,127.058995430449,"Apple Prediction"
"52",2021-05-26,126.279996402681,"Apple Prediction"
"53",2021-05-27,125.522710579896,"Apple Prediction"
"54",2021-05-28,125.320105007452,"Apple Prediction"
"55",2021-06-01,124.848569395671,"Apple Prediction"
"56",2021-06-02,124.489183974742,"Apple Prediction"
"57",2021-06-03,124.833769896971,"Apple Prediction"
"58",2021-06-04,125.93589599363,"Apple Prediction"
"59",2021-06-07,126.078369286928,"Apple Prediction"
"60",2021-06-08,127.266655017522,"Apple Prediction"
"61",2021-06-09,126.79956710349,"Apple Prediction"
"62",2021-06-10,127.018432859512,"Apple Prediction"
"63",2021-06-11,128.642618545797,"Apple Prediction"
"64",2021-06-14,130.018197689865,"Apple Prediction"
"65",2021-06-15,130.072102420155,"Apple Prediction"
"66",2021-06-16,130.926621986062,"Apple Prediction"
"67",2021-06-17,132.065069841067,"Apple Prediction"
"68",2021-06-18,131.806815452601,"Apple Prediction"
"69",2021-06-21,132.80049004508,"Apple Prediction"
"70",2021-06-22,133.738812634313,"Apple Prediction"
"71",2021-06-23,133.67662312093,"Apple Prediction"
"72",2021-06-24,133.423794736536,"Apple Prediction"
"73",2021-06-25,134.040827306119,"Apple Prediction"
"74",2021-06-28,135.435329461324,"Apple Prediction"
"75",2021-06-29,136.448216092776,"Apple Prediction"
"76",2021-06-30,137.105023970232,"Apple Prediction"
"77",2021-07-01,138.198561918555,"Apple Prediction"
"78",2021-07-02,140.735296387623,"Apple Prediction"
"79",2021-07-06,143.331074071127,"Apple Prediction"
"80",2021-07-07,144.042042473539,"Apple Prediction"
"81",2021-07-08,144.040241681585,"Apple Prediction"
"82",2021-07-09,144.853351635427,"Apple Prediction"
"83",2021-07-12,145.05270466269,"Apple Prediction"
"84",2021-07-13,147.291403921799,"Apple Prediction"
"85",2021-07-14,149.120222149393,"Apple Prediction"
"86",2021-07-15,147.681541401552,"Apple Prediction"
"87",2021-07-16,145.002250277036,"Apple Prediction"
"88",2021-07-19,144.402549747432,"Apple Prediction"
"89",2021-07-20,145.724711797648,"Apple Prediction"
