"","Date","Open","High","Low","Close","Volume","Company","volumeDiff","shifted"
"1",2021-03-15,269.079987,275.959991,268.5,273.75,16844800,"Facebook",4.67001299999998,279.279999
"2",2021-03-16,276.079987,282.140015,274.799988,279.279999,22437700,"Facebook",3.20001199999996,284.01001
"3",2021-03-17,275.709991,286.230011,275.410004,284.01001,21315000,"Facebook",8.30001900000002,278.619995
"4",2021-03-18,279.869995,285.190002,278.279999,278.619995,18728300,"Facebook",-1.25,290.109985
"5",2021-03-19,281.220001,292.799988,281.200012,290.109985,38930500,"Facebook",8.88998399999997,293.540009
"6",2021-03-22,290.450012,299.709991,286.75,293.540009,28273100,"Facebook",3.08999699999998,290.630005
"7",2021-03-23,293.149994,298,289.809998,290.630005,23000900,"Facebook",-2.51998900000001,282.140015
"8",2021-03-24,291,291.720001,281.160004,282.140015,18675000,"Facebook",-8.85998499999999,278.73999
"9",2021-03-25,280.980011,288.059998,277.75,278.73999,24505600,"Facebook",-2.24002100000001,283.019989
"10",2021-03-26,278.299988,284.5,277.769989,283.019989,17629200,"Facebook",4.72000100000002,290.820007
"11",2021-03-29,285.769989,293.179993,284.700012,290.820007,21718800,"Facebook",5.05001799999997,288
"12",2021-03-30,289.829987,292.470001,286.700012,288,17474500,"Facebook",-1.82998700000002,294.529999
"13",2021-03-31,289.98999,296.5,288.609985,294.529999,19498200,"Facebook",4.540009,298.660004
"14",2021-04-01,298.399994,302.399994,296.600006,298.660004,17616000,"Facebook",0.260010000000023,308.910004
"15",2021-04-05,300.890015,310.769989,300.679993,308.910004,28237000,"Facebook",8.01998900000001,306.26001
"16",2021-04-06,308.839996,311.350006,305.25,306.26001,17335200,"Facebook",-2.57998599999996,313.089996
"17",2021-04-07,306.339996,314.25,305.5,313.089996,22855200,"Facebook",6.75,313.019989
"18",2021-04-08,314.850006,315.880005,310.049988,313.019989,20894100,"Facebook",-1.830017,312.459991
"19",2021-04-09,311.399994,314.73999,310.329987,312.459991,15988600,"Facebook",1.05999700000001,311.540009
"20",2021-04-12,311.049988,312.149994,307.929993,311.540009,10881900,"Facebook",0.490021000000013,309.76001
"21",2021-04-13,312.209991,314.429993,309.320007,309.76001,14036900,"Facebook",-2.44998099999998,302.820007
"22",2021-04-14,307.299988,308.029999,301.950012,302.820007,17421400,"Facebook",-4.47998100000001,307.820007
"23",2021-04-15,306.339996,310.140015,304.100006,307.820007,14558300,"Facebook",1.48001099999999,306.179993
"24",2021-04-16,308.170013,308.950012,304.609985,306.179993,13059200,"Facebook",-1.99001999999996,302.23999
"25",2021-04-19,305.01001,307.700012,300.559998,302.23999,14553500,"Facebook",-2.77002000000005,302.649994
"26",2021-04-20,301.98999,305.100006,297.209991,302.649994,16796400,"Facebook",0.660004000000015,301.470001
"27",2021-04-21,301.950012,301.980011,297.390015,301.470001,14863500,"Facebook",-0.48001099999999,296.519989
"28",2021-04-22,301.329987,302.920013,296.040009,296.519989,16375400,"Facebook",-4.80999800000001,301.130005
"29",2021-04-23,298.76001,302.589996,297.149994,301.130005,17536800,"Facebook",2.36999499999996,303.040009
"30",2021-04-26,303.339996,305.799988,301.559998,303.040009,16172600,"Facebook",-0.299986999999987,303.570007
"31",2021-04-27,304.279999,305.339996,301.109985,303.570007,15309300,"Facebook",-0.709992,307.100006
"32",2021-04-28,307.359985,310.920013,305.369995,307.100006,33907200,"Facebook",-0.259978999999987,329.51001
"33",2021-04-29,330.119995,331.809998,321.609985,329.51001,56526800,"Facebook",-0.609984999999995,325.079987
"34",2021-04-30,326.140015,329.820007,324.5,325.079987,26332400,"Facebook",-1.06002799999999,322.579987
"35",2021-05-03,326.170013,328.549988,321.839996,322.579987,18719500,"Facebook",-3.59002599999997,318.359985
"36",2021-05-04,320.019989,322.190002,313.119995,318.359985,24032600,"Facebook",-1.66000400000001,315.019989
"37",2021-05-05,318.190002,321.059998,314.48999,315.019989,15577600,"Facebook",-3.17001299999998,320.019989
"38",2021-05-06,314.519989,320.23999,313.269989,320.019989,19012200,"Facebook",5.5,319.079987
"39",2021-05-07,322.380005,322.940002,318.75,319.079987,15916700,"Facebook",-3.30001799999997,305.970001
"40",2021-05-10,314.350006,314.579987,304.829987,305.970001,24239200,"Facebook",-8.38000499999998,306.529999
"41",2021-05-11,300.75,306.839996,299.690002,306.529999,18920100,"Facebook",5.77999899999998,302.549988
"42",2021-05-12,301.130005,304.959991,298.190002,302.549988,24645500,"Facebook",1.419983,305.26001
"43",2021-05-13,306.079987,308.859985,302.769989,305.26001,18079200,"Facebook",-0.819976999999994,315.940002
"44",2021-05-14,309.540009,316.850006,309.079987,315.940002,19245700,"Facebook",6.39999299999999,315.459991
"45",2021-05-17,313.549988,315.679993,311.579987,315.459991,15401300,"Facebook",1.91000300000002,309.959991
"46",2021-05-18,315.589996,316.5,309.809998,309.959991,14522400,"Facebook",-5.63000499999998,313.589996
"47",2021-05-19,304.190002,314.660004,303.570007,313.589996,19106200,"Facebook",9.39999399999999,318.609985
