"","Date","Open","High","Low","Close","Volume","Company","volumeDiff","shifted"
"1",2021-03-15,2062.300049,2067.060059,2043.51001,2066.48999,1298100,"Google",4.18994100000009,2092.52002
"2",2021-03-16,2078.98999,2123.560059,2070,2092.52002,1491600,"Google",13.5300299999999,2091.080078
"3",2021-03-17,2076.030029,2109.780029,2054,2091.080078,1299000,"Google",15.0500489999999,2036.219971
"4",2021-03-18,2061,2075.5,2033.550049,2036.219971,1361400,"Google",-24.780029,2043.199951
"5",2021-03-19,2042.050049,2053.100098,2017.680054,2043.199951,2314900,"Google",1.14990200000011,2038.589966
"6",2021-03-22,2041.839966,2057.98999,2026.069946,2038.589966,1954800,"Google",-3.25,2052.959961
"7",2021-03-23,2051.699951,2072.302002,2039.219971,2052.959961,1367000,"Google",1.26000999999997,2045.060059
"8",2021-03-24,2065.370117,2078.209961,2041.555054,2045.060059,1154000,"Google",-20.310058,2044.359985
"9",2021-03-25,2044.810059,2058.870117,2010.72998,2044.359985,1418900,"Google",-0.450073999999859,2035.550049
"10",2021-03-26,2038.859985,2050.98999,2014.02002,2035.550049,1493500,"Google",-3.30993600000011,2055.949951
"11",2021-03-29,2027.880005,2058.429932,2015.619995,2055.949951,1229800,"Google",28.0699460000001,2055.540039
"12",2021-03-30,2057.629883,2070.780029,2044.030029,2055.540039,1036600,"Google",-2.08984400000008,2068.629883
"13",2021-03-31,2059.120117,2093.326904,2056.745117,2068.629883,1459900,"Google",9.50976600000013,2137.75
"14",2021-04-01,2097.949951,2142.939941,2096.889893,2137.75,1699000,"Google",39.8000489999999,2225.550049
"15",2021-04-05,2152.939941,2237.310059,2151.620117,2225.550049,2164900,"Google",72.6101079999999,2224.75
"16",2021-04-06,2222.5,2237.659912,2214.800049,2224.75,1353000,"Google",2.25,2249.679932
"17",2021-04-07,2226.129883,2255,2225.330078,2249.679932,1289900,"Google",23.5500489999999,2265.439941
"18",2021-04-08,2277.959961,2284.004883,2257.679932,2265.439941,1358300,"Google",-12.5200199999999,2285.879883
